"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U2488,25,Paris/France,439,No,None,2.67,3099,Linear,15,1766.64,4020.07,Theatre,Face-value Resale,Bot Competition,Maybe,Scalper
U1722,40,São Paulo/Brazil,889,Yes,Driver's License,2.41,7845,Natural,6,312.06,469.84,Sports,Group Booking,High Prices,Yes,Fan
U1133,20,Sydney/Australia,808,Yes,Passport,3.77,7332,Natural,4,515.34,715.84,Sports,Group Booking,Bot Competition,Yes,Fan
U2754,33,Melbourne/Australia,205,No,None,1.5,76,Linear,32,5689.98,15000,Sports,Early Access,Bot Competition,No,Bot
U1397,25,Los Angeles/USA,1089,Yes,Passport,4.53,4286,Natural,2,455.76,631.74,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2531,29,Tokyo/Japan,396,No,None,0.78,2978,Linear,17,3522.22,7314.82,Sports,Early Access,Interface Complexity,No,Scalper
U1434,30,Singapore/Singapore,694,Yes,State ID,2.78,8164,Natural,5,512.68,783.35,Sports,Group Booking,High Prices,Yes,Fan
U2625,21,Los Angeles/USA,161,No,None,0.65,243,Linear,36,3403.6,10142.83,Music,Early Access,Bot Competition,No,Bot
U1116,30,Los Angeles/USA,1378,Yes,Passport,3.48,5321,Natural,1,304.99,321.14,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2009,30,São Paulo/Brazil,603,Yes,State ID,2.37,1452,Erratic,11,3241.99,7372.1,Music,Early Access,Interface Complexity,Maybe,Scalper
U1437,31,Melbourne/Australia,315,Yes,National ID,4.08,3000,Natural,6,224.51,414.75,Sports,Face-value Resale,High Prices,Yes,Fan
U1977,20,Los Angeles/USA,887,Yes,State ID,5.66,4654,Natural,5,838.07,800,Theatre,Group Booking,Bot Competition,Yes,Fan
U1386,18,Seoul/South Korea,1318,Yes,Passport,5.35,8873,Natural,4,319.9,437.46,Music,Group Booking,Bot Competition,Yes,Fan
U1539,18,Mumbai/India,1430,Yes,Passport,4.88,4282,Natural,3,439.96,752.31,Music,Group Booking,High Prices,Yes,Fan
U1249,33,Sydney/Australia,1190,Yes,State ID,4.1,6269,Natural,1,271.43,615.93,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1175,35,Los Angeles/USA,415,Yes,Driver's License,3.24,5130,Natural,5,727.91,800,Music,Face-value Resale,Bot Competition,Maybe,Fan
U2237,37,Madrid/Spain,273,No,None,3.31,3340,Erratic,11,1877.54,3466.31,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2104,27,Seoul/South Korea,681,Yes,Driver's License,3.61,3046,Erratic,17,3066.36,6953.2,Music,Early Access,Interface Complexity,Maybe,Scalper
U2390,46,Dubai/UAE,983,Yes,State ID,2.95,2435,Erratic,27,800,2393.63,Sports,Early Access,High Prices,Maybe,Scalper
U2278,29,São Paulo/Brazil,89,No,None,1.91,2714,Linear,19,2892.23,6471.64,Theatre,Group Booking,High Prices,No,Scalper
U1318,19,Madrid/Spain,403,Yes,Driver's License,3.87,5961,Natural,5,230.97,383.96,Music,Group Booking,High Prices,Yes,Fan
U2865,30,Vancouver/Canada,96,No,None,0.9,85,Linear,36,3651.38,11494.11,Theatre,Early Access,Bot Competition,No,Bot
U1209,31,Mexico City/Mexico,990,Yes,Driver's License,5.25,4952,Natural,6,406.36,622.54,Music,Face-value Resale,High Prices,Yes,Fan
U1501,29,Mexico City/Mexico,1382,Yes,State ID,4.48,8522,Natural,1,380.46,581.41,Music,Early Access,Interface Complexity,Yes,Fan
U2928,31,Mumbai/India,151,No,None,0.11,174,Linear,59,5906.7,15000,Theatre,Early Access,Bot Competition,Maybe,Bot
U2332,32,São Paulo/Brazil,449,Yes,State ID,4.11,1926,Erratic,19,3416.34,7615.87,Music,Face-value Resale,Bot Competition,Maybe,Scalper
U1254,24,Dubai/UAE,424,Yes,National ID,2.24,12477,Natural,4,263.71,411.96,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2055,32,Sydney/Australia,475,Yes,National ID,4.88,3926,Erratic,16,3920.64,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U1562,39,Chicago/USA,614,Yes,Driver's License,4.09,5282,Natural,4,318.44,326.29,Music,Early Access,Bot Competition,Yes,Fan
U2050,38,Paris/France,506,Yes,National ID,1.66,3859,Erratic,10,1798.17,3379.01,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1918,18,Chicago/USA,966,Yes,Driver's License,5.74,12608,Natural,2,614.06,800,Sports,Group Booking,High Prices,Yes,Fan
U2600,33,Madrid/Spain,369,Yes,National ID,3.94,800,Erratic,15,1411.11,3262.64,Sports,Early Access,Bot Competition,No,Scalper
U1112,18,Sydney/Australia,1232,Yes,State ID,3.25,9331,Natural,1,307.72,583.93,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1334,30,London/UK,395,Yes,Driver's License,3.27,7100,Natural,2,511.07,657.24,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1997,18,London/UK,697,Yes,National ID,3.47,6434,Natural,5,400.66,554.77,Music,Face-value Resale,Bot Competition,Yes,Fan
U2452,34,Dubai/UAE,210,No,None,2.19,2658,Erratic,22,2634.43,5430.99,Music,Early Access,Bot Competition,No,Scalper
U1852,38,Sydney/Australia,1052,Yes,Passport,3.76,11842,Natural,2,625.81,800,Sports,Group Booking,Bot Competition,Yes,Fan
U1810,34,Los Angeles/USA,748,Yes,Driver's License,4.79,11513,Natural,1,380.27,425.76,Music,Face-value Resale,Bot Competition,Maybe,Fan
U1153,23,Melbourne/Australia,340,Yes,State ID,4.4,7495,Natural,7,533.55,665.04,Music,Early Access,High Prices,Yes,Fan
U2847,29,Vancouver/Canada,119,No,None,0.53,198,Linear,47,5513.22,15000,Theatre,Face-value Resale,Bot Competition,Maybe,Bot
U2125,36,Seoul/South Korea,97,Yes,Passport,1.26,2913,Erratic,12,3923.45,8000,Sports,Early Access,High Prices,No,Scalper
U2365,29,Melbourne/Australia,313,No,None,2.66,3182,Linear,11,3637.29,7818.06,Sports,Early Access,High Prices,Maybe,Scalper
U1219,18,Austin/USA,1038,Yes,Driver's License,6.93,4392,Natural,4,300.84,455.25,Music,Face-value Resale,Bot Competition,Yes,Fan
U2394,35,Chicago/USA,612,Yes,Passport,0.5,1556,Erratic,23,2550.47,5719.64,Theatre,Early Access,Interface Complexity,No,Scalper
U2321,25,Seoul/South Korea,826,Yes,Driver's License,3.45,800,Erratic,18,2812.68,6722.5,Music,Early Access,Interface Complexity,No,Scalper
U2622,23,Dubai/UAE,156,Yes,Passport,1.11,263,Linear,25,4154.36,13154.61,Theatre,Early Access,Bot Competition,No,Bot
U2294,30,Toronto/Canada,755,No,None,2.44,3296,Linear,11,4046.98,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U1833,27,Los Angeles/USA,506,Yes,State ID,4.73,5672,Natural,5,817.73,800,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1408,26,Mumbai/India,763,Yes,Passport,3.25,6280,Natural,3,592.4,800,Sports,Group Booking,Bot Competition,Yes,Fan
U1138,21,Austin/USA,767,Yes,Passport,3.44,7367,Natural,7,173.06,113.2,Music,Early Access,Interface Complexity,Maybe,Fan
U1619,40,Mexico City/Mexico,1131,Yes,National ID,4.31,8570,Natural,2,445.14,629.06,Music,Early Access,High Prices,Yes,Fan
U2215,30,Madrid/Spain,494,No,None,2.78,1432,Linear,10,3100.33,6784.2,Sports,Early Access,Bot Competition,No,Scalper
U1779,35,Toronto/Canada,1134,Yes,Driver's License,4.9,9211,Natural,3,517.6,697.61,Sports,Face-value Resale,High Prices,Yes,Fan
U1391,33,London/UK,1028,Yes,State ID,4.16,4602,Natural,5,269.83,552.49,Sports,Face-value Resale,High Prices,Yes,Fan
U1147,33,London/UK,371,Yes,Passport,5.4,8752,Natural,6,541.17,746.56,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1495,23,Mumbai/India,857,Yes,Driver's License,6.42,9633,Natural,4,377.22,534.24,Theatre,Early Access,Bot Competition,Yes,Fan
U1690,26,Vancouver/Canada,1135,Yes,State ID,2.37,9586,Natural,3,547.34,800,Music,Group Booking,Bot Competition,Yes,Fan
U1007,22,London/UK,807,Yes,Passport,4.9,10238,Natural,3,386.58,452.71,Music,Group Booking,Interface Complexity,Yes,Fan
U1203,18,Mexico City/Mexico,955,Yes,State ID,6.66,10897,Natural,4,331.51,528.68,Theatre,Early Access,Bot Competition,Yes,Fan
U1641,32,Los Angeles/USA,1296,Yes,Passport,4.63,5533,Natural,5,539.44,673.13,Music,Group Booking,High Prices,Yes,Fan
U2822,19,Toronto/Canada,89,No,None,0.49,252,Linear,63,4899.14,14748.29,Music,Early Access,Bot Competition,No,Bot
U2495,30,Toronto/Canada,539,Yes,Driver's License,1.15,3784,Linear,15,3429.88,7329.62,Music,Early Access,Interface Complexity,No,Scalper
U2089,29,Dubai/UAE,568,No,None,0.72,1043,Erratic,12,3578.96,7752.86,Music,Early Access,Bot Competition,Maybe,Scalper
U2005,28,Mumbai/India,446,Yes,Driver's License,5.18,4492,Erratic,19,2949.88,6636.48,Theatre,Face-value Resale,Interface Complexity,No,Scalper
U1233,26,Mumbai/India,878,Yes,Passport,2.68,6907,Natural,5,523.54,773.01,Sports,Group Booking,Bot Competition,Maybe,Fan
U2660,25,Mumbai/India,150,Yes,Passport,0.67,153,Linear,50,5893.14,15000,Music,Early Access,Interface Complexity,No,Bot
U2487,27,São Paulo/Brazil,651,Yes,Driver's License,1.3,1639,Erratic,10,3185.74,6646.95,Sports,Early Access,Interface Complexity,No,Scalper
U1443,18,Madrid/Spain,1216,Yes,National ID,3.07,8514,Natural,2,519.61,724.74,Theatre,Face-value Resale,High Prices,Yes,Fan
U2254,45,Seoul/South Korea,301,No,None,2.18,2381,Erratic,19,3288.9,7373.64,Sports,Early Access,Interface Complexity,No,Scalper
U1010,24,Melbourne/Australia,1174,Yes,Driver's License,4.89,6475,Natural,5,437.47,689.95,Theatre,Early Access,High Prices,Yes,Fan
U1820,44,São Paulo/Brazil,972,Yes,State ID,3.48,9959,Natural,5,386.21,607.94,Theatre,Early Access,High Prices,Yes,Fan
U1615,28,Chicago/USA,1463,Yes,National ID,5.12,6980,Natural,1,490.9,753.61,Sports,Early Access,High Prices,Yes,Fan
U2405,43,Seoul/South Korea,590,No,None,0.5,3413,Erratic,21,2335.01,5288.27,Music,Group Booking,High Prices,Maybe,Scalper
U2203,32,Vancouver/Canada,473,No,None,2.35,1152,Linear,19,3747.42,8000,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U1983,20,Melbourne/Australia,664,Yes,National ID,5.33,7213,Natural,7,510.2,675.35,Sports,Group Booking,Bot Competition,Yes,Fan
U2863,23,Mexico City/Mexico,85,Yes,Passport,0.37,181,Linear,41,2730.91,9493.2,Music,Face-value Resale,High Prices,No,Bot
U2028,26,Austin/USA,591,No,None,1.81,1741,Linear,24,2427.65,6130.55,Music,Early Access,Bot Competition,No,Scalper
U2858,21,Sydney/Australia,132,No,None,0.76,189,Linear,38,2277.19,6955.11,Sports,Early Access,Bot Competition,No,Bot
U1938,36,Mexico City/Mexico,778,Yes,State ID,5.49,3000,Natural,1,596.27,800,Sports,Group Booking,High Prices,Yes,Fan
U2358,40,London/UK,801,Yes,State ID,3.77,3872,Erratic,24,1690.97,4147.42,Sports,Early Access,Bot Competition,No,Scalper
U1759,22,Madrid/Spain,810,Yes,Passport,6.39,7680,Natural,2,262.03,393.46,Theatre,Face-value Resale,Interface Complexity,Maybe,Fan
U1581,39,Madrid/Spain,605,Yes,State ID,2.56,8751,Natural,2,477.83,476.67,Sports,Group Booking,Interface Complexity,Maybe,Fan
U2573,27,Mumbai/India,148,Yes,Driver's License,3.17,800,Erratic,20,3175.54,7003.04,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1829,30,Paris/France,1249,Yes,National ID,5.25,7376,Natural,6,50,234.17,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1218,29,Amsterdam/Netherlands,236,Yes,State ID,6.34,4240,Natural,3,342.74,526.92,Theatre,Face-value Resale,Interface Complexity,Maybe,Fan
U1687,24,Sydney/Australia,876,Yes,Driver's License,4.43,9866,Natural,1,410.72,727.97,Music,Early Access,Interface Complexity,Yes,Fan
U1168,26,Sydney/Australia,1295,Yes,National ID,4.36,3000,Natural,2,653.46,800,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U2677,18,São Paulo/Brazil,212,No,None,0.83,165,Linear,56,4044.55,12133.08,Sports,Early Access,Bot Competition,No,Bot
U2376,36,Amsterdam/Netherlands,305,Yes,National ID,0.5,2347,Erratic,11,2343.18,5850.25,Music,Early Access,Interface Complexity,Maybe,Scalper
U2583,22,Mumbai/India,493,No,None,4.35,2538,Erratic,19,2147.61,5088.12,Music,Early Access,Interface Complexity,Maybe,Scalper
U1853,30,Madrid/Spain,562,Yes,State ID,3.19,9203,Natural,5,395.21,615.71,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2018,45,London/UK,409,Yes,Passport,0.5,1936,Erratic,14,3421.46,7946.76,Sports,Early Access,Interface Complexity,No,Scalper
U2576,30,Melbourne/Australia,509,Yes,Driver's License,2,3538,Erratic,28,3489.01,7258.69,Music,Early Access,Interface Complexity,Maybe,Scalper
U1070,19,Toronto/Canada,533,Yes,Driver's License,5.36,7199,Natural,3,547.97,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1342,45,Vancouver/Canada,1408,Yes,National ID,6.78,8191,Natural,6,451.55,525.23,Music,Face-value Resale,Interface Complexity,Maybe,Fan
U1033,31,Mexico City/Mexico,860,Yes,Driver's License,4.62,9287,Natural,2,796.63,800,Music,Early Access,Bot Competition,Yes,Fan
U2693,25,New York/USA,109,No,None,0.56,130,Linear,42,4701.93,13954.49,Sports,Early Access,Bot Competition,No,Bot
U2308,40,Mexico City/Mexico,681,No,None,4.64,2465,Erratic,10,4059.82,8000,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U1655,25,Paris/France,671,Yes,Driver's License,3.59,6815,Natural,4,183.81,225.56,Music,Face-value Resale,High Prices,Yes,Fan
U1417,22,São Paulo/Brazil,562,Yes,National ID,4.19,6454,Natural,5,85.32,123.09,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1505,30,Singapore/Singapore,923,Yes,State ID,4.98,8304,Natural,1,428.29,513.71,Music,Group Booking,Bot Competition,Yes,Fan
U2090,32,New York/USA,111,Yes,National ID,6.54,4075,Linear,24,2724.41,5959.81,Music,Early Access,Interface Complexity,No,Scalper
U2353,39,Singapore/Singapore,421,Yes,State ID,5.58,3107,Erratic,21,3445.36,7856.7,Music,Early Access,Interface Complexity,Maybe,Scalper
U1575,37,New York/USA,1332,Yes,Passport,4.76,5695,Natural,1,543.15,695.23,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1352,49,Singapore/Singapore,1092,Yes,Driver's License,4.65,7517,Natural,1,461.9,586.12,Music,Face-value Resale,Bot Competition,Maybe,Fan
U2235,22,Melbourne/Australia,275,No,None,0.55,3447,Linear,12,1531.85,3585.59,Sports,Group Booking,High Prices,No,Scalper
U1682,38,Madrid/Spain,573,Yes,Passport,7.57,12177,Natural,3,466.33,602.39,Theatre,Face-value Resale,High Prices,Yes,Fan
U1234,29,Austin/USA,1047,Yes,State ID,3.87,3000,Natural,6,333.81,398.31,Sports,Early Access,Bot Competition,Yes,Fan
U2344,22,Amsterdam/Netherlands,452,Yes,National ID,2.27,2323,Erratic,17,3180.56,7477.8,Sports,Early Access,Interface Complexity,No,Scalper
U2804,23,Singapore/Singapore,124,Yes,State ID,0.72,225,Linear,36,6199.09,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U1462,25,Los Angeles/USA,643,Yes,State ID,4.54,9430,Natural,1,506.45,624.62,Sports,Group Booking,Bot Competition,Yes,Fan
U1164,22,London/UK,933,Yes,Passport,2.77,10098,Natural,2,757.19,800,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1915,25,Dubai/UAE,807,Yes,Driver's License,5.87,8066,Natural,2,546.37,780.73,Theatre,Early Access,Interface Complexity,Yes,Fan
U2927,27,London/UK,63,No,None,0.81,256,Linear,48,2897.88,9062.86,Music,Early Access,High Prices,No,Bot
U2496,30,São Paulo/Brazil,895,No,None,2.89,3444,Linear,18,3519.03,7736.83,Sports,Face-value Resale,Bot Competition,Maybe,Scalper
U1701,39,Paris/France,615,Yes,National ID,5.77,6716,Natural,7,354.27,428.74,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U1961,22,Vancouver/Canada,550,Yes,State ID,2.75,8269,Natural,5,537.17,742.6,Music,Face-value Resale,Bot Competition,Yes,Fan
U2606,20,Austin/USA,90,No,None,0.61,123,Linear,65,2838.48,9485.29,Music,Early Access,Bot Competition,No,Bot
U1712,28,Madrid/Spain,973,Yes,State ID,5.37,6229,Natural,6,373.73,545.43,Sports,Face-value Resale,High Prices,Maybe,Fan
U1966,31,New York/USA,954,Yes,National ID,3.35,6322,Natural,6,410.73,605.05,Sports,Group Booking,Bot Competition,Maybe,Fan
U1064,39,Paris/France,603,Yes,Passport,4.35,7939,Natural,6,115.36,283.87,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U1157,28,Tokyo/Japan,838,Yes,Driver's License,3.45,5732,Natural,3,486.13,753.67,Music,Early Access,High Prices,Yes,Fan
U2596,37,New York/USA,506,Yes,Passport,3.1,3848,Linear,24,2608.48,5790.03,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U2760,22,London/UK,209,No,None,0.13,196,Linear,45,5027.41,15000,Sports,Face-value Resale,Bot Competition,No,Bot
U2826,21,Melbourne/Australia,175,No,None,0.54,247,Linear,49,5397.74,15000,Music,Early Access,Bot Competition,No,Bot
U2713,20,Chicago/USA,224,No,None,0.62,196,Linear,55,4455.91,12981.83,Theatre,Early Access,High Prices,No,Bot
U2650,26,Dubai/UAE,164,No,None,0.23,184,Linear,35,4726.4,14648.71,Theatre,Group Booking,Interface Complexity,No,Bot
U1212,27,Chicago/USA,906,Yes,National ID,5.16,4847,Natural,6,548.77,800,Music,Early Access,High Prices,Yes,Fan
U2229,22,Melbourne/Australia,482,Yes,Passport,1.66,3117,Erratic,16,3462.16,7676.17,Sports,Early Access,High Prices,Maybe,Scalper
U2541,36,Vancouver/Canada,340,Yes,Driver's License,2.54,1103,Linear,18,3582.98,7430.28,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U2509,45,London/UK,793,Yes,Passport,4.83,3425,Linear,15,3585.5,8000,Theatre,Early Access,Interface Complexity,No,Scalper
U1045,41,Berlin/Germany,922,Yes,National ID,6.45,4349,Natural,1,410,604.73,Music,Face-value Resale,Bot Competition,Yes,Fan
U2014,24,Singapore/Singapore,60,No,None,5.36,2555,Erratic,24,4121.34,8000,Sports,Early Access,Interface Complexity,No,Scalper
U2593,31,Singapore/Singapore,536,Yes,Driver's License,2.94,3926,Erratic,13,1666.22,3819.6,Sports,Early Access,Interface Complexity,No,Scalper
U1374,22,Chicago/USA,350,Yes,Driver's License,3.03,3000,Natural,3,392.94,523.98,Sports,Face-value Resale,High Prices,Yes,Fan
U2882,18,New York/USA,159,No,None,1.05,128,Linear,32,4267.75,12750.93,Music,Early Access,Bot Competition,No,Bot
U1524,27,Berlin/Germany,837,Yes,Driver's License,4.12,9944,Natural,5,373.69,609.73,Sports,Face-value Resale,High Prices,Yes,Fan
